FACTOR07,UBIGEO,RESULT,ESTRATO,P101,P102,P103,P103A,P110,P111A,P1121,P1141,P1142,P1143,P1144,Ingreso
263.262603759766,130614,1,7,1,3,6,3,1,1,1,0,1,0,1,715.713134765625
263.262603759766,130614,1,7,1,3,6,4,1,9,1,0,1,0,1,1356.08268229167
224.600997924805,140101,1,2,1,1,3,1,1,1,1,1,1,1,1,6073.23828125
224.600997924805,140101,1,2,1,3,5,4,1,1,1,0,1,0,1,3351.6435546875
224.600997924805,140101,1,2,2,1,3,1,1,1,1,0,1,1,1,2307.00618489583
224.600997924805,140101,1,2,1,1,5,4,1,1,1,0,1,0,0,2277.17008463542
224.600997924805,140101,1,2,1,1,3,1,1,1,1,1,1,1,1,3113.29459635417
224.600997924805,140101,1,2,1,1,3,1,1,1,1,0,1,0,1,3820.95833333333
224.600997924805,140101,5,2, , , , , , , , , , , , 
224.600997924805,140101,1,2,1,1,3,1,1,1,1,1,1,1,1,9368.49739583333
224.600997924805,140101,1,2,1,3,5,4,1,1,1,0,1,1,1,4029.0029296875
224.600997924805,140101,1,2,1,1,3,1,1,1,1,0,1,1,1,6154.939453125
224.600997924805,140101,1,2,1,1,2,1,1,1,1,0,1,1,1,1683.42431640625
224.600997924805,140101,1,2,1,1,2,1,1,1,1,1,1,1,1,11050.4869791667
224.600997924805,140101,2,2,1,1,3,1,1,1,1,1,1,1,1,21404.3828125
224.600997924805,140101,2,2,1,1,3,1,1,1,1,0,1,1,1,4954.69205729167
224.600997924805,140101,1,2,1,1,3,1,1,1,1,0,1,0,1,2846.96614583333
224.600997924805,140101,2,2,1,1,3,1,1,1,1,0,1,0,1,2802.9833984375
299.468017578125,140105,1,2,1,9,6,4,1,1,1,0,1,0,1,4877.47265625
299.468017578125,140105,1,2, , , , ,1,1,1,0,1,0,0,1217.69230143229
299.468017578125,140105,5,2, , , , , , , , , , , , 
299.468017578125,140105,1,2,1,3,5,4,1,1,1,0,1,1,1,3069.1982421875
299.468017578125,140105,1,2,1,1,3,4,1,1,1,0,1,1,1,5266.5185546875
299.468017578125,140105,1,2,1,1,5,1,1,1,1,0,0,0,0,1093.66666666667
299.468017578125,140105,1,2,1,1,3,1,1,1,1,1,1,1,1,14489.0494791667
299.468017578125,140105,1,2,1,1,5,1,1,1,1,1,1,1,1,3672.03190104167
121.454750061035,140112,1,4,1,1,3,1,1,1,1,1,1,1,1,7825.65690104167
121.454750061035,140112,1,4,1,1,5,1,1,1,1,0,1,0,0,2485.95768229167
121.454750061035,140112,1,4,1,1,5,1,1,1,1,0,1,0,1,1209.23876953125
121.454750061035,140112,1,4,1,1,3,1,1,1,1,0,1,1,1,1886.95393880208
121.454750061035,140112,1,4,1,1,5,1,1,1,1,1,1,1,1,3025.345703125
